ACC_STATION_CODE,DATE_TYPE,TIME_ATTRIBUTE,BEGIN_TIME,END_TIME,VERSION_ID
819,9,2,480,600,499                 
819,9,3,600,960,499                 
819,9,4,960,1080,499                 
819,9,5,1080,1440,499                 
819,10,1,240,420,499                 
819,10,2,420,540,499                 
819,10,3,540,960,499                 
819,10,4,960,1200,499                 
819,10,5,1200,1440,499                 
819,11,1,240,480,499                 
819,11,2,480,600,499                 
819,11,3,600,960,499                 
819,11,4,960,1080,499                 
819,11,5,1080,1440,499                 
819,12,1,240,420,499                 
819,12,2,420,540,499                 
819,12,3,540,1020,499                 
819,12,4,1020,1140,499                 
819,12,5,1140,1440,499                 
819,13,1,240,480,499                 
819,13,2,480,600,499                 
819,13,3,600,960,499                 
819,13,4,960,1080,499                 
819,13,5,1080,1440,499                 
819,14,1,240,420,499                 
819,14,2,420,540,499                 
819,14,3,540,960,499                 
819,14,4,960,1200,499                 
819,14,5,1200,1440,499                 
819,15,1,240,480,499                 
819,15,2,480,600,499                 
819,15,3,600,960,499                 
819,15,4,960,1080,499                 
819,15,5,1080,1440,499                 
821,0,1,240,420,499                 
821,0,2,420,540,499                 
821,0,3,540,1020,499                 
821,0,4,1020,1140,499                 
821,0,5,1140,1440,499                 
821,1,1,240,480,499                 
821,1,2,480,600,499                 
821,1,3,600,960,499                 
821,1,4,960,1080,499                 
821,1,5,1080,1440,499                 
821,2,1,240,420,499                 
821,2,2,420,540,499                 
821,2,3,540,960,499                 
821,2,4,960,1200,499                 
821,2,5,1200,1440,499                 
821,3,1,240,480,499                 
821,3,2,480,600,499                 
821,3,3,600,960,499                 
821,3,4,960,1080,499                 
821,3,5,1080,1440,499                 
821,4,1,240,420,499                 
821,4,2,420,540,499                 
821,4,3,540,1020,499                 
821,4,4,1020,1140,499                 
821,4,5,1140,1440,499                 
821,5,1,240,480,499                 
821,5,2,480,600,499                 
821,5,3,600,960,499                 
821,5,4,960,1080,499                 
821,5,5,1080,1440,499                 
821,6,1,240,420,499                 
821,6,2,420,540,499                 
821,6,3,540,960,499                 
821,6,4,960,1200,499                 
821,6,5,1200,1440,499                 
821,7,1,240,480,499                 
821,7,2,480,600,499                 
821,7,3,600,960,499                 
821,7,4,960,1080,499                 
821,7,5,1080,1440,499                 
821,8,1,240,420,499                 
821,8,2,420,540,499                 
821,8,3,540,1020,499                 
821,8,4,1020,1140,499                 
821,8,5,1140,1440,499                 
821,9,1,240,480,499                 
821,9,2,480,600,499                 
821,9,3,600,960,499                 
821,9,4,960,1080,499                 
821,9,5,1080,1440,499                 
821,10,1,240,420,499                 
821,10,2,420,540,499                 
821,10,3,540,960,499                 
821,10,4,960,1200,499                 
821,10,5,1200,1440,499                 
821,11,1,240,480,499                 
821,11,2,480,600,499                 
821,11,3,600,960,499                 
821,11,4,960,1080,499                 
821,11,5,1080,1440,499                 
821,12,1,240,420,499                 
821,12,2,420,540,499                 
821,12,3,540,1020,499                 
821,12,4,1020,1140,499                 
821,12,5,1140,1440,499                 
821,13,1,240,480,499                 
821,13,2,480,600,499                 
821,13,3,600,960,499                 
821,13,4,960,1080,499                 
821,13,5,1080,1440,499                 
821,14,1,240,420,499                 
821,14,2,420,540,499                 
821,14,3,540,960,499                 
821,14,4,960,1200,499                 
821,14,5,1200,1440,499                 
821,15,1,240,480,499                 
821,15,2,480,600,499                 
821,15,3,600,960,499                 
821,15,4,960,1080,499                 
821,15,5,1080,1440,499                 
823,0,1,240,420,499                 
823,0,2,420,540,499                 
823,0,3,540,1020,499                 
823,0,4,1020,1140,499                 
823,0,5,1140,1440,499                 
823,1,1,240,480,499                 
823,1,2,480,600,499                 
823,1,3,600,960,499                 
